Filename, Title (from PDF XMP metadata)
228058e," UNESCO publications catalogue: Asia-Pacific region, 2012-2013; 2014"
228074por, O Futuro da aprendizagem movel: implicacoes para planejadores e gestores de politicas; 2014
228085e, ISCED fields of education and training 2013 (ISCED-F 2013): manual to accompany the International Standard Classification of Education 2011; 2014
228134s, Gestion del riesgo de desastres para el patrimonio mundial; Patrimonio mundial: manual de referencia; 2014
228267e, Gisele Rabesahala: walk to the Royal Hill of Ambohimanga; Women in African history series; 2014
228324e," Najaf, the Gate of wisdom; 2014"
228399e, Media and gender: a scholarly agenda for the Global Alliance on Media and Gender; 2014
228401e," UNESCO Beijing Office: biennium report, 2012-2013; 2014"
228479e, UNESCO Bangkok office; 2014
228565e, In or out? Asia-Pacific review of young key populations in national AIDS strategic plans; 2014
228649e," Open educational resources in France: overview, perspectives and recommendations; 2014"
228776e, The International status of education about the Holocaust: a global mapping of textbooks and curricula; 2014
228798e, Stay safe and be prepared: a student's guide to disaster risk reduction; 2014
228806e," Mapping research and innovation in the Republic of Zimbabwe; GO-SPIN country profiles in science, technology and innovation policy; Vol.:2; 2014"
228807e," Mapping research and innovation in the Republic of Malawi; GO-SPIN country profiles in science, technology and innovation policy; Vol.:3; 2014"
228833e, Safeguarding precious resources for island communities; World heritage series: papers; Vol.:38; 2014
228934f, Pour un developpement efficace des capacites: methodologie d'evaluation des besoins en capacites (CAPNAM) pour la planification et la gestion de l'education; 2014
228963e, Stay safe and be prepared: a teacher's guide to disaster risk reduction; 2014
228964e, Stay safe and be prepared: a parent's guide to disaster risk reduction; 2014
229054e, BRICS: building education for the future; priorities for national development and international cooperation; 2014
229059e, Guidelines for earthquake resistant non-engineered construction; 2014
229174e, Human Origins Sites in Asia and World Heritage Convention; Human origin sites and the World Heritage Convention in Asia; World heritage series: papers; Vol.:39; 2014
229335e, World-wide survey of school physical education: final report; 2014
229336e, Towards a learning culture of safety and resilience: technical guidance for integrating disaster risk reduction in the school curriculum; 2014
229418e," Gender equality, heritage and creativity; 2015"
229419f, Education a la puberte et a la gestion de l'hygiene menstruelle; Politiques rationnelles et bonnes pratiques sur l'education et le VIH & SIDA. Brochure; Vol.:9; 2014
229421f," Guide pedagogique pour le developpement des competences en education a la sante reproductive, au VIH et au SIDA a l'usage des formateurs-trices et des enseignants-es; 2014"
229602por, BRICS: construir a educacao para o futuro; prioridades para o desenvolvimento nacional e a cooperacao internacional; 2014
229608e, UNESCO culture for development indicators: methodology manual; 2014
229696f," Ressources educatives libres en France: regards, perspectives et recommandations; 2014"
229697e, Summary report of the 2013 UIS cultural employment metadata survey; UIS information paper; Vol.:23; 2014
229750e," Consultation on the development of Samoa Culture Centre, Apia, Samoa, 5-6 February 2014: final report; 2014"
229778f, Benin: rapport d'etat du systeme educatif: pour une revitalisation de la politique educative dans le cadre du programme decennal de developpement du secteur de l'education; 2014
230048f, Enseigner le respect pour tous: guide de mise en oeuvre; 2014
230062f, Education a la citoyennete mondiale: preparer les apprenants aux defis du XXIe siecle; 2015
230063f, L'Adaptation au changement climatique pour les sites du patrimoine mondial naturel: guide pratique; Cahiers du patrimoine mondial; Vol.:37; 2014
230103e, Nzinga Mbandi: Queen of Ndongo and Matamba; UNESCO series on women in African history; 2014
230122e, Wangari Maathai: and the green belt movement; UNESCO series on women in African history; 2014
230124e, Yennega: Princess of Gambaga; UNESCO series on women in African history; 2014
230171e, Shaping the future we want: UN Decade of Education for Sustainable Development; final report; 2014
230173f," Rapport sur l'economie creative, 2013, edition speciale: elargir les voies du developpement local; 2013"
230205f, La Prevention du dopage dans le sport: insuffisances et defis; 2014
230302e, Shaping the future we want: UN Decade of Education for Sustainable Development (2005-2014); final report;summary; 2014
230304f, Egalite des genres: patrimoine et creativite; 2014
230372e, Engaging local communities in stewardship of World Heritage: a methodology based on the COMPACT experience; World heritage series: papers; Vol.:40; 2014
230504e," Basic texts of the 2003 Convention for the Safeguarding of the Intangible Cultural Heritage, 2014 edition; 2014"
230514e, UNESCO roadmap for implementing the Global Action Programme on Education for Sustainable Development; 2014
230529e," Understanding community perceptions about climate change in the Pacific, final report; 2014"
230611e, Towards indicators for a post-2015 education framework: Post-2015 Education Indicators Technical Advisory Group of the EFA Steering Committee; 2014
230725por, 2? relatorio global sobre aprendizagem e educacao de adultos: repensando a alfabetizacao; 2014
230727por, Planejamento e gestao de politicas educativas: formacao em contexto de funcionarios do MEC Brasil; 2014
230732por, Experiencias em educacao preventiva ao uso de drogas: a experiencia do Brasil; 2014
230739m," Tyotohoki diyok-nim to amkira batih, tyotikok nyama, tokodowik nyama adik diyok-nim namamtunim, apoknim tom tyokatu wahumam ...; Serie Javari: educacao preventiva para DST/HIV/Aids e hepatites virais para povos indigenas do Vale do Javari; Vol.:4; 2014"
230779s," Encuentro de generaciones por medio de la radio: guia practica desarrollada en Africa para productores radiales que trabajan con ninos, ninas y jovenes; 2014"
230845f, Education et VIH: evolution et perspectives; L'Education en devenir; 2014
230847e," Information for all Programme, IFAP: report 2008-2013; 2014"
230892f," Politiques et pratiques relatives aux enseignants dans la perspective de l'Education pour tous: etudes de cas du Burkina Faso, du Senegal et du Togo; 2014"
230929e, Funmilayo Ransome-Kuti: and the Women's Union of Abeokuta; UNESCO series on women in African history; 2014
230934e, The Women soldiers of Dahomey; UNESCO series on women in African history; 2014
230936e, The Mulatto Solitude; UNESCO series on women in African history; 2014
230986s, La Informacion y el conocimiento abierto en el contexto de la cooperacion multilateral: aspectos clave para la revision del Acuerdo Regional no. 7 de ALADI; Cuadernos de discusion de comunicacion e informacion; Vol.:2; 2014
231017e," Proposed standard practice for surveys on Science, Engineering, Technology and Innovation (SETI) policy instruments, SETI governing bodies, SETI legal framework and policies; 2014"
231066e," Fifty years of hydro(geo)logical mapping activities under the auspices of UNESCO, CGWM, IAH and BGR; 2014"
231068f, Indicateurs d'egalite des genres dans les medias: cadre d'indicateurs pour l'evaluation de la sensibilite a la question du genre dans les activites et contenus (mediatiques); 2015
231069s, Indicadores de genero para medios de comunicacion: marco de indicadores para evaluar la sensibilidad en materia de genero en las operaciones y contenidos mediaticos; 2014
231076s, A salvo y preparado: guia para padres sobre la reduccion del riesgo de desastres; 2014
231083e, The Asia and Pacific Regional Bureau's Education Support Strategy 2014-2021: Learning for Peace and sustainable Development; 2014
231084s, A salvo y preparado: guia del alumno sobre la reduccion del riesgo de desastres; 2014
231085s, A salvo y preparado: guia para docentes sobre la reduccion del riesgo de desastres; 2014
231101e, Quality Physical Education (QPE): guidelines for policy makers; 2015
231113e, TVET policy review: Saint Kitts and Nevis; 2014
231132m, From words to action; 2014
231158e, UNESCO's response to Ebola: strategy paper; 2014
231159e, Global bioethics: what for? Twentieth anniversary of UNESCO's Bioethics Programme; 2015
231160e, Technical and vocational teachers and trainers in the Arab region: a review of policies and practices on continuous professional development; 2014
231162e, Fostering freedom online: the role of Internet intermediaries; UNESCO series on internet freedom; 2014
231217e, Asia-Pacific Regional Education Conference; Envisioning education beyond 2015: Asia-Pacific regional perspectives; final report; 2014
231218e," International Conference on Small Island Developing States; 3rd; Underwater cultural heritage and small island developing states: 3rd UN International Conference on Small Island Developing States, (Apia, Samoa, 1-4 September 2014): final report; 2014"
231247s, Guia para realizar una encuesta de I+D: dirigida a los paises que inician sus mediciones de investigacion y desarrollo experimental; Documento tecnico; Vol.:11; 2014
231278f, Le Numerique au service de l'education en Afrique; 2015
231287e, TVET policy review: South Sudan; 2014
231288e, UNESCO education strategy 2014-2021; 2014
231305e, Freedom of expression and public order: training manual; 2015
231397f, Pourquoi une bioetique globale? 20e anniversaire du Programme de bioethique de l'UNESCO; 2015
231426e, Heritage for peace and reconciliation: safeguarding underwater cultural heritage of the First World War;manual for teachers; 2015
231508e, Fixing the broken promise of Education for All: findings from the Global Initiative on Out-of-School Children: executive summary; 2015
231511e, Fixing the broken promise of Education for All: findings from the global initiative on out-of-school children; 2015
231519e," A Complex formula: girls and women in science, technology, engineering and mathematics in Asia; 2015"
231540s, ?Por que una bioetica global? Vigesimo aniversario del Programa de Bioetica de la UNESCO; 2015
231551e, Festival statistics: key concepts and current practices; 2009 framework for cultural statistics handbook; Vol.:3; 2015
231567e, Safeguarding intangible cultural heritage through the strengthening of national capacities in Asia and the Pacific: 2011-2014 project completion report; 2015
231646e, A Guide for gender equality in teacher education policy and practices; 2015
231661s, Igualdad de genero: patrimonio y creatividad; 2015
231755e," Revisiting Kathmandu: safeguarding living urban heritage; Proceeding of an International Symposium, Kathmandu Valley, 25-29 November 2013; 2015"
231797f, Apprentissage positif: repondre aux besoins des jeunes vivant avec le VIH dans le secteur de l'education; 2015
231807por, Gestao de riscos de desastres para o patrimonio mundial; Manual de referencia do patrimonio mundial; 2015
231823e, The United Nations world water development report 2015: water for a sustainable world; 2015
231867e, Digital services for education in Africa; 2015
231868s, Adaptacion al cambio climatico en sitios naturales del patrimonio mundial: guia practica; Cuadernos del patrimonio mundial; Vol.:37; 2015
231907e, 2013 Asia-Pacific Education Research Institutes Network (ERI-Net) regional study on: transversal competencies in education policy and practice (Phase I): regional synthesis report; ERI-Net regional policy study series; Vol.:1; 2015
231920e, Introduction to open access; Open access for library schools; Vol.:1; 2015
231938e, Scholarly communication; Open access for researchers; Vol.:1; 2015
231944e, Empowering Adolescent Girls and Young Women through Education; 2015
231945e, Bridging learning gaps for youth: UNESCO education response to the Syria crisis (2015-2016); 2015
231963por, Diretrizes em educacao fisica de qualidade (EFQ) para gestores de politicas; 2015
232179e, Facing the challenges: case studies and indicators;UNESCO's contributions to the United Nations world water development report 2015; 2015
232189e," Better life, better future: UNESCO Global Partnership for Girls' and Women's Education; 2015"
232199e, Interoperability and retrieval; Open access for library schools; Vol.:4; 2015
232201e, Resource optimization; Open access for library schools; Vol.:3; 2015
232204e, Open access infrastructure; Open access for library schools; Vol.:2; 2015
232205e," Education for All 2000-2015: achievements and challenges; EFA global monitoring report, 2015; 2015"
232207e, Concepts of openness and open access; Open access for researchers; Vol.:2; 2015
232208e, Intellectual property rights; Open access for researchers; Vol.:3; 2015
232210e, Research evaluation metrics; Open access for researchers; Vol.:4; 2015
232211e, Sharing your work in open access; Open access for researchers; Vol.:5; 2015
232266e, Post-2015 dialogues on culture and development; 2015
232343e, ISCED 2011 operational manual: guidelines for classifying national education programmes and related qualifications; 2015
232358e, Building digital safety for journalism: a survey of selected issues; UNESCO series on internet freedom; 2015
232368f, Le Principe du respect de la vulnerabilite humaine et de l'integrite personnelle: rapport du Comite international de bioethique de l'UNESCO (CIB); 2015
232374e, UNESCO culture for development indicators: implementation toolkit; 2014
232381e, Learning with intangible heritage for a sustainable future: guidelines for educators in the Asia-Pacific region; 2015
232431e, The Global map of groundwater vulnerability to floods and droughts: explanatory notes; 2015
232432e, UNESCO 2014; 2015
232433f," Education pour tous 2000-2015: progres et enjeux;rapport mondial de suivi sur l'EPT, 2015; 2015"
232435s," La Educacion para Todos, 2000-2015: logros y desafios;informe de seguimiento de la EPT en el mundo, 2015; 2015"
232437e, Summary report of the 2013 UIS innovation data collection; UIS Information paper; Vol.:24; 2015
232550e," Attitudinal survey report on the delivery of HIV and sexual reproductive health education in school settings in Nauru, Niue, Palau and Samoa; 2015"
232551e, Attitudinal survey report on the delivery of HIV and sexual reproductive health education in school settings in Nauru; 2015
232552e, Attitudinal survey report on the delivery of HIV and sexual reproductive health education in school settings in Niue; 2015
232553e, Attitudinal survey report on the delivery of HIV and sexual reproductive health education in school settings in Palau; 2015
232554e, Attitudinal survey report on the delivery of HIV and sexual reproductive health education in school settings in Samoa; 2015
232555e, Rethinking education: towards a global common good?; 2015
232563e," Keystones to foster inclusive knowledge societies: access to information and knowledge, freedom of expression, privacy and ethics on a global internet; 2015"
232575por, Renovando a visao das sociedades do conhecimento para a paz e o desenvolvimento sustentavel; 2015
232584f, Engager les communautes locales dans la gerance du patrimoine mondial: methodologie fondee sur l'experience de COMPACT; Cahiers du patrimoine mondial; Vol.:40; 2015
232607e, State of early childhood development in West and Central Africa in 2010-11: analysis based on MICS4 surveys; 2014
232614e, A Case study of Serbia: measuring the economic contribution of cultural industries; 2009 framework for cultural statistics handbook; Vol.:4; 2015
232623f, Republique Democratique du Congo: rapport d'etat du systeme educatif: pour une education au service de la croissance et de la paix; resume executif; 2014
232636e, A Matter of right and reason: gender equality in educational planning and management; Gender equality in education; 2015
232649e," National Commissions for UNESCO: annual report, 2014; 2015"
232657e, Agree to differ; 2015
232696f, Repenser l'education: vers un bien commun mondial?; 2015
232697s, Replantear la educacion: ?Hacia un bien comun mundial?; 2015
232709e, Interim assessment of media development in South Sudan: based on UNESCO's media development indicators; 2015
232799s, El Liderazgo escolar en America Latina y el Caribe: un estado del arte con base en ocho sistemas escolares de la region; 2014
232842f, Lignes directrices pour les ressources educatives libres (REL) dans l'enseignement superieur; 2015
232851e, The Transition from secondary education to higher education: case studies from Asia and the Pacific; 2015
232852por, Directrizes para recursos educacionais abertos (REA): no ensino superior; 2015
232855s, Directrices para los recursos educativos abiertos (REA) en la educacion superior; 2015
232909e, Transforming teaching and learning in Asia and the Pacific: case studies from seven countries; 2015
232922por," Programa Mundial para Educacao em Direitos Humanos: terceira fase, plano de acao; 2015"
232986s, Guia basica de recursos educativos abiertos (REA); 2015
232992s, Catastro de experiencias relevantes de politicas docentes en America Latina y el Caribe; 2014
232993e, Global citizenship education: topics and learning objectives; 2015
233004e," Bangladesh, pre-primary education and the school learning improvement plan: promising EFA practices in the Asia-Pacific region; case study; 2015"
233005e, The Philippines Kariton Klasrum: promising EFA practices in the Asia-Pacific region; case study; 2015
233006e," Cambodia, early reading and writing: promising EFA practices in the Asia-Pacific region; case study; 2015"
233007e," Indonesia, literacy for life skills and entrepreneurship: promising EFA practices in the Asia-Pacific region; case study; 2015"
233008e," India, Sarva Shiksha Abhiyan: promising EFA practices in the Asia-Pacific region; case study; 2015"
233022por, Empoderando pessoas e criando capacidades nas organizacoes da sociedade civil; 2014
233030e, Unleashing the potential: transforming technical and vocational education and training; Education on the move; 2015
233031m, Science diplomacy and transboundary water management: the Orontes River case; 2015
233083e, Not just hot air: putting climate change education into practice; 2015
233138e, Taytu Betul: the rise of an Itege; UNESCO series on women in African history; 2015
233139f, Taytu Betul: l'avenement d'une Etege; Serie UNESCO femmes dans l'histoire de l'Afrique; 2015
233142por," Seminario Educacao em Sexualidade e Relacoes de Genero na Formacao...; Seminario Educacao em Sexualidade e Relacoes de Genero na Formacao Inicial Docente no Ensino Superior, Fundacao Carlos Chagas, Sao Paulo, 9 de outubro de 2013: relatorio final; 2014"
233231e, Countering online hate speech; UNESCO series on internet freedom; 2015
233236e, Asia-Pacific regional Education for All report: a synthesis of the national EFA reports; 2015
233240f, Education a la citoyennete mondiale: themes et objectifs d'apprentissage; 2015
233244e, Human Origins Sites in Eurasia and World Heritage Convention; Human origin sites and the World Heritage Convention in Eurasia; World heritage series: papers; Vol.:41; 2015
233315e, Cultural policies and the 2005 UNESCO Convention in Asia; 2014
233355e," Underwater cultural heritage from World War I: proceedings of the Scientific Conference on the Occasion of the Centenary of World War I, Bruges, Belgium, 26 & 27 June 2014; 2015"
233395m, Patrimonio da humanidade no Brasil: suas riquezas culturais e naturais; 2014
233420e, Inside the news: challenges and aspirations of women journalists in Asia and the Pacific; 2015
233500m, Sitios arqueologicos brasileiros; 2014
233510e, Planning education with and for youth; IIEP policy forum; 2015
233547e, Measuring the education sector response to HIV and AIDS: handbook: supporting country-level data collection for core indicators; 2015
233558e, Investing against evidence: the global state of early childhood care and education; Education on the move; 2015
233579e," World Water Forum; 7th; Proceedings on Water Education and Capacity Building: Key for Water Security and Sustainable Development, 7th World Water Forum; 2015"
233592e, The Role of higher education in promoting lifelong learning; UIL publication series on lifelong learning policies and strategies; Vol.:3; 2015
233712e, Workshop on Revitalization of Indigenous Architecture and Traditional Building Skills; Workshop on Revitalization of Indigenous Architecture and Traditional Building Skills: final report; 2015
233734e, Multi-level risk and protective factors and HIV-related risk behaviours among young men who have sex with men (YMSM) in Myanmar; 2015
233767e, Guidelines for education sector plan preparation; 2015
233768e, Guidelines for education sector plan appraisal; 2015
233811e, Global Dialogue Workshop on Indigenous and Local Knowledge of Pollination and Pollinators with Food P...; Indigenous and local knowledge about pollination and pollinators associated with food production: outcomes from the global dialogue workshop; 2015
233825e," Asia-Pacific Consultation on School Bullying based on Sexual Orientation and Gender Identity/Expression, 15-17 June 2015, Bangkok, Thailand: meeting report; 2015"
233828s, La Lectura en la era movil: un estudio sobre la lectura movil en los paises en desarrollo; 2015
233876s, Educacion para la ciudadania mundial: temas y objetivos de aprendizaje; 2015
233878e, Teaching journalism for sustainable development: new syllabi; UNESCO series on journalism education; 2015
233887e," Analytical study of Kota Tua, Jakarta; 2014"
233979f, Recherche-action: ameliorer l'alphabetisation des jeunes et des adultes; autonomiser les apprenants dans un monde multilingue; 2015
233988e," Bangladesh, pre-primary education and the school learning improvement plan: promising EFA practices in the Asia-Pacific region, case study; abridged version; 2015"
233989e," Cambodia, early reading and writing: promising EFA practices in the Asia-Pacific region, case study; abridged version; 2015"
233990e," India, Sarva Shiksha Abhiyan: promising EFA practices in the Asia-Pacific region, case study; abridged version; 2015"
233991e," Indonesia, literacy for life skills and entrepreneurship: promising EFA practices in the Asia-Pacific region, case study; abridged version; 2015"
233992e," The Philippines Kariton Klasrum: promising EFA practices in the Asia-Pacific region, case study; abridged version; 2015"
233993e, The Economic cost of out-of-school children in Southeast Asia; 2015
234082e," Sex-disaggregated indicators for water assessment, monitoring and reporting; World Water Assessment Programme: gender and water series; Vol.:1; 2015"
234132por, Liberar o potencial: transformar a educacao e a formacao tecnica e profissional; Educacao em movimento; 2015
234143f, Recherche-action sur la mesure des apprentissages des beneficiaires des programmes d'alphabetisation: resultats de la premiere phase 2011-2014; 2015
234154e," The Evolution and impact of literacy campaigns and programmes, 2000-2014; UIL research series; Vol.:1; 2015"
234185e, Communities in action: lifelong learning for sustainable development; 2015
234252e, Learning families: intergenerational approaches to literacy teaching and learning; selected case studies from http://www.unesco.org/uil/litbase; 2015
234253e, Transforming our world: literacy for sustainable development; selected case studies from http://www.unesco.org/uil/litbase; 2015
234279e, Information and communication technology (ICT) in education in Sub-Saharan Africa: a comparative analysis of basic e-readiness in schools; UIS Information paper; Vol.:25; 2015
234311por, Educacao para a cidadania global: preparando alunos para os desafios do seculo XXI; 2015
234325e, Mobile phones & literacy: empowerment in women's hands; a cross-case analysis of nine experiences; 2015
234386e, Curriculum development and review for democratic citizenship and human rights education; 2015
234425e, Assessment of media development in Jordan based on UNESCO's Media Development Indicators; 2015
234435e, Principles for governing the Internet: a comparative analysis; UNESCO series on internet freedom; 2015
234513e, Guidelines on how to collect sex-disaggregated water data; World Water Assessment Programme: gender and water series; Vol.:2; 2015
234514e, Questionnaire for collecting sex-disaggregated water data; World Water Assessment Programme: gender and water series; Vol.:3; 2015
234536e, Unlocking the potential of urban communities: case studies of twelve learning cities; 2015
234620f, Combattre les discours de haine sur internet; Collection UNESCO sur la liberte de l'Internet; 2015
234621e, Practical conservation guidelines for traditional courtyard houses and environment in the ancient city of Pingyao; 2015
234674e, The State of broadband 2015: broadband as a foundation for sustainable development; 2015
234736e," Mapping research and innovation in the Republic of Rwanda; GO-SPIN country profiles in science, technology and innovation policy; Vol.:4; 2015"
234738e, Transversal skills in TVET: policy implications; Asia-Pacific education system review series; Vol.:8; 2015
234745s, Liberar el potencial de las comunidades urbanas: estudios de caso de doce ciudades del aprendizaje; 2015
234746s, Principios y buenas practicas para los medios publicos en America Latina; Cuadernos de discusion de comunicacion e informacion; Vol.:3; 2015
234756e, Teachers in Asia Pacific: status and rights; 2015
234794s, La Renovacion de la vision de las sociedades del conocimiento para la paz y el desarrollo sostenible; 2015
234986e, UNESCO Global Network of Learning Cities: guiding documents; 2015
235022e, Celebrating 50 years of water leadership in Asia and the Pacific: success stories from the field; 2015
235049e, International Standard Classification of Education: fields of education and training 2013 (ISCED-F 2013);detailed field descriptions; 2015
